id,ticker,current_price,analyst_target,analyst_target_high,analyst_target_low,upside_percent,analyst_rating,price_action,current_target,previous_target,pb_ratio,forward_pe,beta,dividend_yield,debt_to_equity,verdict,last_updated,period_high,period_low,period_years,history_updated_at
1,UPS,119.44,113.18,130,75,-5.24,Buy,Lowers,,113.18,6.25,15.08,1.09,5.56,184.32,Neutral,2026-02-10 18:26:39.728431+00:00,233.72,82,10,2026-02-10 17:45:07.401679+00:00
2,AP-UN.TO,14.08,14.12,16,12,0.32,Hold,Raises,,14.12,0.39,7.82,1.49,11.58,92.64,High Potential,2026-02-10 18:25:39.300181+00:00,60.14,12.35,10,2026-02-10 17:45:08.045163+00:00
3,TAL.TO,0.4,1.75,1.75,1.75,343.04,Strong buy,Maintains,,,0.51,12.27,0.4,20.75,19.46,Undervalued,2026-02-10 18:26:34.474231+00:00,4.5,0.11,10,2026-02-10 17:45:08.477212+00:00
4,TD.TO,133.1,129.07,139,115,-3.03,Buy,Lowers,,129.07,1.8,12.88,0.88,3.24,,Neutral,2026-02-10 18:26:34.917854+00:00,133.75,48.52,10,2026-02-10 17:45:08.964952+00:00
5,ENB.TO,68.93,70.79,80,62,2.69,Buy,Lowers,,70.79,2.58,21.25,0.85,5.65,150.84,Neutral,2026-02-10 18:25:59.947221+00:00,70.39,33.06,10,2026-02-10 17:45:09.706556+00:00
6,BCE.TO,35.14,37.36,45,31,6.32,Buy,Raises,,37.36,1.67,12.86,0.66,5.04,180.05,Defensive/Safe,2026-02-10 18:25:43.512811+00:00,74.09,28.73,10,2026-02-10 17:45:10.208276+00:00
7,T.TO,19.46,21.61,30,17,11.05,Buy,Raises,,21.61,1.88,17.97,0.82,8.69,171.49,Defensive/Safe,2026-02-10 18:26:33.830804+00:00,34.65,17.26,10,2026-02-10 17:45:10.662999+00:00
8,DRM.TO,20.71,33,38,28,59.34,Strong buy,Maintains,,,0.61,10.28,1.62,3.2,137.55,Undervalued,2026-02-10 18:25:57.080155+00:00,50.71,12.24,10,2026-02-10 17:45:11.227811+00:00
9,BNS.TO,105.18,101.87,112,92,-3.15,Hold,Lowers,,101.87,1.5,11.38,1.26,4.18,,Neutral,2026-02-10 18:25:46.463697+00:00,105.84,46.38,10,2026-02-10 17:45:11.736761+00:00
10,BTO.TO,7.49,9.1,10.49,5.84,21.44,Buy,Lowers,,9.1,2.19,7.82,1,1.49,18.92,High Potential,2026-02-10 18:25:47.202243+00:00,9.99,0.86,10,2026-02-10 17:45:12.260798+00:00
11,BIR.TO,7.05,8.81,10,8,25,Buy,Raises,,8.81,0.87,10.74,0.48,1.69,28.66,Undervalued,2026-02-10 18:25:45.489434+00:00,12.48,0.58,10,2026-02-10 17:45:13.120907+00:00
12,AEM.TO,283.98,311.15,371.54,107.28,9.57,Buy,Raises,,311.04,4.44,18.52,0.66,0.77,1.43,Neutral,2026-02-10 18:25:37.749634+00:00,305.68,37.07,10,2026-02-10 17:45:13.580762+00:00
13,CAR-UN.TO,38.46,46.62,51.14,40,21.21,Buy,Lowers,,46.62,0.69,15.35,1.02,4.05,64.19,Undervalued,2026-02-10 18:25:48.174316+00:00,62.77,25.99,10,2026-02-10 17:45:14.087592+00:00
14,BMO.TO,196.98,186.67,219,170,-5.24,Hold,Lowers,,186.67,1.61,12.1,1.2,3.4,,Neutral,2026-02-10 18:25:46.020941+00:00,197.77,55.76,10,2026-02-10 17:45:14.566703+00:00
15,BEP-UN.TO,41.91,41.74,44.57,38.72,-0.41,Buy,Lowers,,41.74,2.11,-25.49,1.02,5.04,110.59,Neutral,2026-02-10 18:25:44.755739+00:00,63.39,15.83,10,2026-02-10 17:45:15.213710+00:00
16,BB.TO,4.77,5.15,5.36,4.93,7.9,None,Lowers,,5.15,2.78,23.23,1.34,,30.82,Undervalued,2026-02-10 18:25:42.626199+00:00,36,2.89,10,2026-02-10 17:45:15.790216+00:00
17,CPKR.TO,18.28,19.5,20,18,6.67,None,Maintains,,,0.81,6.54,,5.09,15.48,High Potential,2026-02-10 18:25:51.753695+00:00,24,13.63,10,2026-02-10 17:45:16.138943+00:00
18,ARE.TO,37.13,35.34,40,30,-4.82,Hold,Raises,,35.34,2.57,21.25,1.3,2.01,66.84,Neutral,2026-02-10 18:25:39.799903+00:00,37.99,8.29,10,2026-02-10 17:45:16.665043+00:00
19,CLS.TO,411.92,553.76,582.64,529.79,34.43,Strong buy,Raises,,553.73,15.63,36.36,1.5,,38.8,Undervalued,2026-02-10 18:25:50.079478+00:00,512.83,3.83,10,2026-02-10 17:45:17.108014+00:00
20,ACO-X.TO,59.4,60.43,69,54,1.73,Buy,Lowers,,60.43,1.4,12.6,0.48,3.45,146.21,Defensive/Safe,2026-02-10 18:25:36.566899+00:00,60.82,27.72,10,2026-02-10 17:45:17.683246+00:00
21,BYD.TO,247.83,267.81,289.62,193.18,8.06,Buy,Raises,,267.8,4.59,40.76,0.54,0.25,158.71,Neutral,2026-02-10 18:25:47.409384+00:00,324.75,54.16,10,2026-02-10 17:45:18.141998+00:00
22,BDT.TO,31.6,34.12,39,31,7.99,Strong buy,Raises,,34.12,3.83,11.83,0.86,2.64,75.72,Neutral,2026-02-10 18:25:43.983537+00:00,32.67,3.96,10,2026-02-10 17:45:18.613722+00:00
23,CCO.TO,161.24,168.18,201,120,4.3,Buy,Lowers,,168.18,10.35,86.63,1.1,0.15,14.85,Neutral,2026-02-10 18:25:48.797777+00:00,182.72,7.69,10,2026-02-10 17:45:19.116580+00:00
24,HME.V,2.12,2.96,3.42,2.5,39.62,Strong buy,Lowers,,2.96,2.55,7.92,0.7,4.72,4.04,Undervalued,2026-02-10 18:26:06.511236+00:00,2.39,0.04,10,2026-02-10 17:45:19.541700+00:00
25,BDGI.TO,68.6,81.94,86,75,19.45,Buy,Raises,,81.94,5.79,21.44,0.94,1.1,88.59,Undervalued,2026-02-10 18:25:43.765396+00:00,82.57,18,10,2026-02-10 17:45:20.015010+00:00
26,ATH.TO,7.99,8.03,9,6.5,0.47,Buy,Lowers,,8.03,2.19,18.19,1.02,,10.64,Neutral,2026-02-10 17:45:20.466898+00:00,8.66,0.1,10,2026-02-10 17:45:20.466820+00:00
27,CCA.TO,67.68,75.66,100,67,11.79,Buy,Lowers,,75.66,0.88,8.19,0.65,5.88,123.25,High Potential,2026-02-10 18:25:48.393113+00:00,132,50.78,10,2026-02-10 17:45:20.942822+00:00
28,BTE.TO,4.82,5.09,6,4,5.62,Hold,Raises,,5.09,0.88,16.36,0.8,1.85,48.05,High Potential,2026-02-10 18:25:46.964689+00:00,9.16,0.27,10,2026-02-10 17:45:23.301858+00:00
29,CP.TO,112.58,121.25,130,101,7.7,Buy,Lowers,,121.6,2.2,18.71,1.09,0.83,51.2,Neutral,2026-02-10 18:25:51.501219+00:00,123.37,28,10,2026-02-10 17:45:23.947095+00:00
30,NA.TO,172.9,170.29,188,132,-1.51,Hold,Lowers,,170.29,2.1,12.26,1.11,2.88,,Neutral,2026-02-10 18:26:17.456261+00:00,177.54,34.86,10,2026-02-10 17:45:24.599160+00:00
31,RY.TO,236.89,235.27,260,196,-0.69,Buy,Lowers,,235.27,2.6,13.33,1.01,2.78,,Neutral,2026-02-10 18:26:27.762779+00:00,240.34,64.52,10,2026-02-10 17:45:25.169151+00:00
32,CCL-B.TO,86.31,97.91,105,94,13.44,Buy,Lowers,,97.91,2.68,17.32,0.5,1.5,47.05,Undervalued,2026-02-10 18:25:48.614230+00:00,89.16,34.3,10,2026-02-10 17:45:26.034917+00:00
33,BHC.TO,8.44,6.71,6.71,6.71,-20.45,Hold,Raises,,6.71,-4.05,1.39,0.38,,5910.67,High Potential,2026-02-10 18:25:44.961738+00:00,149.01,5.1,10,2026-02-10 17:45:26.502431+00:00
34,AC.TO,20.34,24.52,32,17.8,20.54,Buy,Lowers,,24.52,2.76,8.93,1.62,,539.62,High Potential,2026-02-10 18:25:36.359130+00:00,52.71,6.81,10,2026-02-10 17:45:26.977020+00:00
35,CEU.TO,15.12,15.34,16.5,13.25,1.48,Strong buy,Raises,,15.34,4.04,14.11,1.02,1.12,61.7,Neutral,2026-02-10 18:25:49.025596+00:00,15.47,0.53,10,2026-02-10 17:45:27.448655+00:00
36,CG.TO,25.4,31.22,39.96,17.11,22.92,Buy,Raises,,31.21,1.93,11.86,1.27,1.11,0.91,High Potential,2026-02-10 18:25:49.245731+00:00,27.55,4.76,10,2026-02-10 17:45:27.953444+00:00
37,ATD.TO,80.53,83.85,90.37,76.82,4.12,Buy,Raises,,83.83,3.57,16.84,0.67,1.08,101.32,Neutral,2026-02-10 18:25:40.571537+00:00,87.27,25.54,10,2026-02-10 17:45:28.563813+00:00
38,CIGI.TO,199.27,238.08,250.68,225.47,19.47,Buy,Raises,,238.02,5.15,18.57,1.46,0.21,92.23,Undervalued,2026-02-10 18:25:49.659168+00:00,239.26,42.8,10,2026-02-10 17:45:29.247876+00:00
39,CNQ.TO,52.94,52.05,61,43,-1.69,Buy,Lowers,,52.05,2.73,18.23,1,4.42,46.26,Neutral,2026-02-10 18:25:50.727795+00:00,56.49,4.8,10,2026-02-10 17:45:29.728395+00:00
40,ATS.TO,42.42,49.2,57,42.4,15.98,Buy,Lowers,,49.2,2.31,18.23,1.16,,88.16,Neutral,2026-02-10 18:25:41.267865+00:00,64.8,8.29,10,2026-02-10 17:45:30.223680+00:00
41,ATZ.TO,115.12,152.08,168,120,32.1,Strong buy,Lowers,,152.08,9.9,29.47,1.65,,77.42,Undervalued,2026-02-10 18:25:41.471563+00:00,139.59,9.2,10,2026-02-10 17:45:30.693065+00:00
42,AYA.TO,24.27,32.09,38.59,28.79,32.22,Strong buy,Raises,,32.08,6.35,27.44,1.34,,28.53,Undervalued,2026-02-10 18:25:41.921272+00:00,30.15,0.4,10,2026-02-10 17:45:31.161779+00:00
43,CJT.TO,97.6,113.21,143,90,16,Buy,Raises,,113.21,2,23.8,1.08,1.46,116.19,Neutral,2026-02-10 18:25:49.847029+00:00,250.01,22.11,10,2026-02-10 17:45:31.615712+00:00
44,MCS.V,1.75,,,,0,None,Maintains,,,0.68,,0.81,2.91,,Neutral,2026-02-10 18:26:15.212963+00:00,2.92,0.37,10,2026-02-10 17:45:32.054358+00:00
45,AQN.TO,8.9,8.71,8.71,8.71,-2.15,Hold,Lowers,,8.71,1.12,17.62,0.83,4.17,127.17,Defensive/Safe,2026-02-10 18:25:39.573251+00:00,22.67,6.03,10,2026-02-10 17:45:32.543340+00:00
46,AG.TO,32.07,39,52,35,21.61,Buy,Lowers,,39.75,4.43,37.82,1.54,0.09,7.89,Undervalued,2026-02-10 18:25:37.980190+00:00,38.2,3.5,10,2026-02-10 17:45:32.998102+00:00
47,AAV.TO,11.07,14.64,20,13.5,32.22,Buy,Lowers,,14.64,1.1,10.04,0.8,,49.48,Undervalued,2026-02-10 18:25:35.283914+00:00,13.2,0.98,10,2026-02-10 17:45:33.458807+00:00
48,AIF.TO,42.78,61.14,67,52,42.92,Buy,Raises,,61.14,2.23,21.49,0.96,1.41,23.88,Undervalued,2026-02-10 18:25:38.379364+00:00,72.33,16.9,10,2026-02-10 17:45:33.900102+00:00
49,AGI.TO,60.54,73.9,89.38,64.4,22.06,Strong buy,Raises,,73.89,4.62,16.64,0.94,0.23,6.83,Undervalued,2026-02-10 18:25:38.177231+00:00,61.83,3.27,10,2026-02-10 17:45:34.356588+00:00
50,ATRL.TO,105.63,119.13,135,98,12.78,Buy,Raises,,119.13,3.17,22.04,1.09,0.08,23.59,Neutral,2026-02-10 18:25:41.057604+00:00,106.82,15.47,10,2026-02-10 17:45:34.840429+00:00
51,ALA.TO,42.3,47.09,50,40,11.34,Buy,Raises,,47.09,1.52,17.83,0.48,3.17,118.54,Defensive/Safe,2026-02-10 18:25:38.615614+00:00,44.37,8.71,10,2026-02-10 17:45:35.331606+00:00
52,BLX.TO,26.88,35,39,30,30.21,Buy,Maintains,,,1.81,21.02,0.07,2.46,237.92,Undervalued,2026-02-10 18:25:45.774299+00:00,56.7,13.51,10,2026-02-10 17:45:35.802111+00:00
53,CNR.TO,144.74,152.5,190,132,5.36,Buy,Lowers,,154.05,4.12,16.89,0.86,2.61,101.64,Neutral,2026-02-10 18:25:51.001514+00:00,181.34,66.62,10,2026-02-10 17:45:36.298951+00:00
54,BBU-UN.TO,50.38,,,,0,Buy,Maintains,,,3.38,-268.18,1.3,0.68,283.93,Neutral,2026-02-10 18:25:43.231636+00:00,52.1,15.03,10,2026-02-10 17:45:37.089687+00:00
55,BEI-UN.TO,68.36,81.36,88.5,77,19.02,Buy,Raises,,81.36,0.67,14.59,0.93,2.38,78.07,Undervalued,2026-02-10 18:25:44.172163+00:00,91.81,15.8,10,2026-02-10 17:45:39.009176+00:00
56,CHP-UN.TO,15.68,16.25,17.5,15.5,3.64,Buy,Maintains,,,1.09,14.54,0.84,4.92,269.88,Defensive/Safe,2026-02-10 18:25:49.434995+00:00,15.91,10.58,10,2026-02-10 17:45:39.447051+00:00
57,BIP-UN.TO,52.63,56.94,56.94,56.94,8.19,Buy,Raises,,56.94,3.63,25.75,1.1,4.75,193.5,Undervalued,2026-02-10 18:25:45.225652+00:00,57.08,17.82,10,2026-02-10 17:45:39.990164+00:00
58,ARX.TO,23.53,29.02,35,25,23.35,Buy,Raises,,29.02,1.62,11.46,0.28,3.65,46.9,Undervalued,2026-02-10 18:25:40.367030+00:00,31.56,2.42,10,2026-02-10 17:45:40.513040+00:00
59,CM.TO,132.57,127.87,142,100,-3.55,Buy,Lowers,,127.87,1.97,12.03,1.28,3.22,,Neutral,2026-02-10 18:25:50.300753+00:00,133.22,33.76,10,2026-02-10 17:45:41.363701+00:00
60,BAM.TO,70.98,83.71,93.49,77.28,17.93,Buy,Raises,,83.7,9.33,27.92,1.54,3.94,18.17,Undervalued,2026-02-10 18:25:42.367858+00:00,90.24,28.23,10,2026-02-10 17:45:41.780414+00:00
61,ARIS.TO,26.15,36.79,40.96,29.6,40.7,Strong buy,Raises,,36.78,3.44,9.47,1.68,,36.51,Undervalued,2026-02-10 18:25:40.046319+00:00,29.3,0.9,10,2026-02-10 17:45:42.328612+00:00
62,BN.TO,64.35,68.16,75.88,61.61,5.92,Buy,Lowers,,68.16,2.49,,2.03,0.52,161.25,Neutral,2026-02-10 18:25:46.231114+00:00,68.44,13.54,10,2026-02-10 17:45:42.990923+00:00
63,CAE.TO,44.36,47.15,57,34,6.3,Buy,Raises,,47.15,2.8,29.7,1.16,,65.22,Neutral,2026-02-10 18:25:47.937096+00:00,47.65,13.04,10,2026-02-10 17:45:43.778085+00:00
64,ABX.TO,63.44,77.69,99.89,41.71,22.46,Buy,Raises,,77.68,2.93,14.83,0.98,3.62,13.9,High Potential,2026-02-10 18:25:36.147320+00:00,74,10.62,10,2026-02-10 17:45:44.350981+00:00
65,BBD-B.TO,249.53,248.5,295.3,188.46,-0.41,Buy,Raises,,248.46,-9.52,23.71,2.21,,,High Potential,2026-02-10 18:25:42.991595+00:00,276.18,6.5,10,2026-02-10 17:45:44.835594+00:00
66,ABX,8.14,13.5,15,11,65.95,Strong buy,Maintains,,,1.83,8.38,-0.1,2.55,94.29,Undervalued,2026-02-10 18:25:35.729071+00:00,13.25,4.6,10,2026-02-10 17:45:45.232233+00:00
67,AEM,209.55,237.31,330,80,13.25,Buy,Lowers,,237.31,4.48,18.55,0.66,0.76,1.43,Neutral,2026-02-10 18:25:37.437920+00:00,225,26.1,10,2026-02-10 17:45:46.006854+00:00
68,COST,978.11,1047.1,1205,650,7.05,Buy,Lowers,,1047.1,14.33,44.03,1.01,0.52,26.97,Neutral,2026-02-10 18:25:51.278543+00:00,1078.23,138.57,10,2026-02-10 17:45:46.466271+00:00
