symbol,date,final_score,recommendation,raw_model_score,trust_ratio,pe_ratio,roe,debt_to_equity,revenue_growth,profit_margins
AAPL,2026-02-10,73.5,Buy,84,0.875,29.471115,1.5202099,102.63,0.157,0.27037
AAV.TO,2026-02-10,64.0,Buy,64,1.0,10.063986,0.03562,49.481,-0.008,0.096920006
ABBV,2026-02-10,68.25,Buy,91,0.75,14.046539,11.066669,100.0,0.1,0.0691
ABX,2026-02-10,30.0,Hold,60,0.5,8.141415,0.03176,94.287,1.237,0.05618
ABX.TO,2026-02-10,42.6,Hold,71,0.6,11.332127,0.20684999,14.509,0.645,0.29447
AC.TO,2026-02-10,50.25,Hold,67,0.75,9.595714,-0.112270005,539.615,-0.054,-0.01345
ACO-X.TO,2026-02-10,44.375,Hold,71,0.625,12.733699,0.08482,146.213,0.061,0.0838
AD-UN.TO,2026-02-10,34.857142857142854,Hold,61,0.5714285714285714,10.646705,0.15516,13.318,0.078,0.97993
ADBE,2026-02-10,63.00000000000001,Buy,77,0.8181818181818182,10.140877,0.55426,57.266,0.105,0.29997
AEM,2026-02-10,79.0,Buy,79,1.0,16.017248,0.15667,1.427,0.419,0.32625
AEM.TO,2026-02-10,81.0,Strong Buy,81,1.0,15.868707,0.15667,1.427,0.419,0.32625
AG.TO,2026-02-10,25.333333333333332,Hold,76,0.3333333333333333,26.812735,0.0421,7.886,0.951,0.07075
AGI.TO,2026-02-10,37.0,Hold,74,0.5,17.520674,0.14274,6.831,0.281,0.33462003
AIF.TO,2026-02-10,38.285714285714285,Hold,67,0.5714285714285714,18.516197,0.0363,23.884,0.038,0.74814004
ALA.TO,2026-02-10,43.88888888888889,Hold,79,0.5555555555555556,18.13494,0.08958,118.536,-0.058,0.06062
AMD,2026-02-10,49.583333333333336,Hold,85,0.5833333333333334,20.415422,0.07082,6.359,0.341,0.12515001
AMZN,2026-02-10,59.2,Hold,74,0.8,22.519194,0.22286,43.435,0.136,0.108339995
AP-UN.TO,2026-02-10,32.0,Hold,64,0.5,7.7802196,-0.104729995,92.643,0.006,-0.95662004
AQN.TO,2026-02-10,40.55555555555556,Hold,73,0.5555555555555556,17.849731,0.00147,127.169,0.017,-0.01115
ARE.TO,2026-02-10,48.666666666666664,Hold,73,0.6666666666666666,22.294466,0.00908,66.835,0.2,0.00164
ARIS.TO,2026-02-10,36.0,Hold,60,0.6,8.174447,0.03889,36.509,0.916,0.06384
ARX.TO,2026-02-10,23.0,Hold,69,0.3333333333333333,11.843029,0.1573,47.341,0.156,0.20987
ATD.TO,2026-02-10,76.28571428571428,Buy,89,0.8571428571428571,18.157503,0.17672001,101.32,0.026,0.03597
ATH.TO,2026-02-10,59.25,Hold,79,0.75,20.04762,0.26006,10.643,-0.087,0.34113997
ATRL.TO,2026-02-10,65.71428571428572,Buy,92,0.7142857142857143,24.615664,0.5641,23.594,0.145,0.24264999
ATS.TO,2026-02-10,42.0,Hold,63,0.6666666666666666,20.045536,0.0107700005,85.521,0.167,0.00674
ATZ.TO,2026-02-10,41.14285714285714,Hold,72,0.5714285714285714,29.09948,0.30205,77.421,0.428,0.1018
AVGO,2026-02-10,60.800000000000004,Buy,76,0.8,23.771627,0.31048,166.032,0.164,0.36198002
AYA.TO,2026-02-10,46.857142857142854,Hold,82,0.5714285714285714,12.303278,-0.0058399998,28.529,3.929,0.01814
BA,2026-02-10,32.72727272727273,Hold,60,0.5454545454545454,48.481773,2.90084,1032.894,0.571,0.02498
BAM.TO,2026-02-10,75.0,Buy,75,1.0,23.765575,0.22306,28.516,0.311,0.51588
BB.TO,2026-02-10,29.625,Hold,79,0.375,21.387743,0.02878,30.819,-0.013,0.0402
BBD-B.TO,2026-02-10,60.833333333333336,Buy,73,0.8333333333333334,24.433414,0.1,100.0,0.113,0.044510003
BBU-UN.TO,2026-02-10,48.666666666666664,Hold,73,0.6666666666666666,15.368303,0.023729999,285.736,-0.045,-0.00095
BCE.TO,2026-02-10,32.888888888888886,Hold,74,0.4444444444444444,13.046656,0.32115,176.925,-0.003,0.26402
BDGI.TO,2026-02-10,26.666666666666664,Hold,80,0.3333333333333333,19.410414,0.22047001,88.589,0.134,0.07655
BDT.TO,2026-02-10,40.57142857142857,Hold,71,0.5714285714285714,12.4687,0.21675,75.719,0.058,0.02716
BEI-UN.TO,2026-02-10,19.5,High Risk,65,0.3,14.737069,0.06395,78.069,0.025,0.49013
BEP-UN.TO,2026-02-10,42.0,Hold,60,0.7,-20.312536,0.01994,99.766,0.075,-0.0029699998
BHC.TO,2026-02-10,50.0,Hold,75,0.6666666666666666,1.4926877,5.6315804,5910.674,0.068,0.0361
BIP-UN.TO,2026-02-10,58.09090909090909,Hold,71,0.8181818181818182,34.3044,0.07744,181.48,0.158,0.01944
BIR.TO,2026-02-10,20.4,Hold,68,0.3,10.291971,0.03316,28.657,0.142,0.10943
BLX.TO,2026-02-10,30.0,Hold,75,0.4,21.913908,0.00252,237.915,-0.013,-0.027780002
BMO.TO,2026-02-10,49.33333333333333,Hold,74,0.6666666666666666,12.656314,0.10123,100.0,0.155,0.26668
BN.TO,2026-02-10,35.833333333333336,Hold,43,0.8333333333333334,132.12244,0.00994,161.253,-0.065,0.012949999
BNS.TO,2026-02-10,60.07692307692307,Buy,71,0.8461538461538461,11.65448,0.08986,100.0,-0.008,0.24617
BRK-A,2026-02-10,75.0,Buy,75,1.0,21.070496,0.1017,18.166,0.021,0.18129
BTE.TO,2026-02-10,41.714285714285715,Hold,73,0.5714285714285714,17.490908,0.05254,48.05,-0.123,0.07021
BTO.TO,2026-02-10,34.199999999999996,Hold,57,0.6,6.847452,0.07229,18.916,0.747,0.08753
BYD.TO,2026-02-10,44.4,Hold,74,0.6,44.817184,0.01903,158.712,0.05,0.00518
C,2026-02-10,47.14285714285714,Hold,55,0.8571428571428571,10.069531,0.06831,100.0,0.037,0.18893999
CAE.TO,2026-02-10,25.0,Hold,50,0.5,29.424192,0.09262,65.217,0.088,0.09011
CAR-UN.TO,2026-02-10,52.85714285714286,Hold,74,0.7142857142857143,15.301588,0.01796,64.187,-0.107,0.057729997
CCA.TO,2026-02-10,51.66666666666667,Hold,62,0.8333333333333334,7.711083,0.08874,123.252,-0.043,0.10791001
CCL-B.TO,2026-02-10,42.0,Hold,56,0.75,17.568323,0.15161,47.049,0.063,0.10672
CCO.TO,2026-02-10,47.07692307692307,Hold,68,0.6923076923076923,83.51065,0.080979995,14.854,-0.147,0.15184
CEU.TO,2026-02-10,75.25,Buy,86,0.875,15.298616,0.22937,61.697,0.028,0.07321
CG.TO,2026-02-10,32.5,Hold,65,0.5,10.0104065,0.18388,0.909,0.22,0.26351
CHP-UN.TO,2026-02-10,33.88888888888889,Hold,61,0.5555555555555556,14.66355,0.17679001,269.881,0.049,0.52194
CIGI.TO,2026-02-10,43.0,Hold,86,0.5,19.086353,0.08614001,92.234,0.241,0.021470001
CJT.TO,2026-02-10,63.2,Buy,79,0.8,25.235119,0.1724,116.193,-0.105,0.12465
CLS.TO,2026-02-10,25.0,Hold,50,0.5,23.579687,0.40488,35.036,0.436,0.06719
CM.TO,2026-02-10,43.33333333333333,Hold,65,0.6666666666666666,12.6730175,0.137,100.0,0.125,0.31462
CNQ.TO,2026-02-10,55.33333333333333,Hold,83,0.6666666666666666,19.635677,0.16563,46.262,0.07,0.17232001
